Quarter,Cargo
2013-01-01,16905.28889
2013-04-01,17361.12754
2013-07-01,16024
2013-10-01,17256.43733
2014-01-01,16429.51715
2014-04-01,16872.52696
2014-07-01,15573.17281
2014-10-01,16770.78308
2015-01-01,16945.08253
2015-04-01,17401.99419
2015-07-01,16061.86574
2015-10-01,17297.05754
2016-01-01,19440.31889
2016-04-01,19964.51275
2016-07-01,18427.04462
2016-10-01,19844.12373
2017-01-01,20411.38379
2017-04-01,20961.7617
2017-07-01,19347.49538
2017-10-01,20835.35912
2018-01-01,7202.64866
2018-04-01,7396.86277
2018-07-01,6827.229997
2018-10-01,7352.258573
2019-01-01,7751
2019-04-01,7960
2019-07-01,7347
2019-10-01,7912
2020-01-01,9874
2020-04-01,356
2020-07-01,937
2020-10-01,1515
2021-01-01,1865
2021-04-01,1821
2021-07-01,1253
2021-10-01,2145
2022-01-01,2744
2022-04-01,3555
2022-07-01,4150
2022-10-01,4363
2023-01-01,5043
2023-04-01,5397
2023-07-01,5069